Id,OverallQual,YearBuilt,TotalBsmtSF,GrLivArea,FullBath,GarageCars,SaleType
1508,6,1978,1224,1891,3,2,WD
1509,6,1971,715,1645,1,2,WD
1510,5,1966,1232,1232,1,2,WD
1511,5,1966,1209,1209,1,2,ConLD
1512,5,1967,1510,1510,2,2,WD
1513,6,1964,533,1775,2,2,COD
1514,5,1962,1728,1728,2,0,Oth
1515,5,1952,1140,2461,2,2,WD
1516,6,1949,782,1556,2,2,WD
1517,6,1966,1080,1128,1,1,WD
1518,5,1958,1604,1604,2,2,WD
1519,7,2003,1480,1480,2,2,WD
1520,5,1959,1143,1143,1,1,WD
1521,5,1959,1206,1206,1,1,WD
1522,6,1959,1244,1580,1,2,WD
1523,4,1956,832,1337,1,1,WD
1524,5,1952,864,1064,1,1,WD
1525,5,1955,972,972,1,1,WD
1526,5,1958,988,988,1,1,WD
1527,4,1920,576,985,1,2,WD
1528,6,1948,816,1224,1,1,WD
1529,5,1960,1175,1175,1,2,WD
1530,6,1963,1395,1395,1,2,WD
1531,4,1900,709,1844,1,1,COD
1532,5,1920,936,936,1,0,WD
1533,5,1957,1347,1347,1,2,WD
1534,6,1938,827,1251,1,1,WD
1535,5,1948,1027,1633,1,1,WD
1536,5,1920,1008,1245,1,1,WD
1537,2,1923,678,832,1,2,WD
1538,8,1900,930,1566,2,1,WD
1539,8,1890,346,2268,3,2,WD
1540,5,1910,840,2256,2,0,WD
1541,6,1922,738,1470,1,2,WD
1542,5,1950,988,1612,1,1,WD
1543,7,1922,1108,2068,1,1,WD
1544,4,1925,765,765,1,1,WD
1545,6,1939,608,1132,1,1,WD
1546,6,1940,572,1196,1,2,WD
1547,5,1942,835,1453,1,1,WD
1548,6,1948,780,1416,1,1,WD
1549,5,1936,528,1040,1,2,WD
1550,5,1930,928,1536,2,2,WD
1551,6,1923,1124,1068,1,1,WD
1552,4,1915,888,1962,1,2,WD
1553,6,1912,780,1560,1,0,WD
1554,6,1920,662,1324,1,1,WD
1555,5,1959,1422,1675,2,1,WD
1556,5,1917,689,1224,1,1,COD
1557,5,1915,1212,1392,1,0,ConLD
1558,6,1940,600,919,1,1,WD
1559,4,1907,707,1884,1,0,WD
1560,5,1910,856,1680,2,2,COD
1561,4,1967,1832,1832,2,0,WD
1562,5,1966,864,892,1,1,WD
1563,5,1968,864,864,1,1,WD
1564,5,1978,1319,1373,1,2,WD
1565,5,1968,720,1440,1,2,WD
1566,7,1977,1420,1483,1,2,WD
1567,4,1927,660,756,1,2,WD
1568,6,1978,1117,1981,2,2,WD
1569,3,1938,972,1610,2,1,WD
1570,6,1950,663,1074,1,1,WD
1571,4,1947,756,1531,1,1,WD
1572,5,1954,1172,1172,1,1,WD
1573,7,2009,1508,1508,1,2,Con
1574,5,1964,1250,1298,2,2,COD
1575,7,1987,1433,1433,1,2,WD
1576,6,1993,946,1802,2,4,WD
1577,7,2010,1222,1222,2,2,WD
1578,6,1900,676,1445,2,2,WD
1579,5,1996,870,965,1,2,WD
1580,7,1997,878,1692,2,2,WD
1581,5,1977,1026,1026,1,1,WD
1582,5,1972,876,876,1,2,WD
1583,8,2003,1978,1978,2,3,WD
1584,7,1997,1040,2098,2,2,WD
1585,6,2003,848,848,1,2,WD
1586,3,1945,0,640,1,1,ConLD
1587,5,1954,381,992,1,1,Oth
1588,5,1968,1196,1196,1,1,WD
1589,4,1948,744,1120,1,2,WD
1590,6,1975,1008,1096,1,1,WD
1591,4,1958,960,960,1,0,WD
1592,5,1924,1107,1296,2,1,WD
1593,6,1939,856,856,1,2,WD
1594,4,1967,0,2650,3,0,WD
1595,5,1931,894,1666,1,0,WD
1596,7,1941,1528,2133,1,1,WD
1597,5,1950,1032,2177,2,2,WD
1598,7,1994,423,1652,2,2,WD
1599,8,1989,982,1034,1,2,WD
1600,8,1989,1191,1191,2,2,WD
1601,2,1941,480,540,1,1,ConLw
1602,6,1921,629,1107,1,1,COD
1603,4,1896,756,952,1,1,WD
1604,8,2004,1594,1646,2,2,WD
1605,8,1998,1049,1916,2,3,WD
1606,6,1977,1243,1285,2,2,WD
1607,6,1976,1958,2048,3,2,ConLD
1608,7,2008,1336,1346,2,3,WD
1609,7,2009,1214,1214,2,2,New
1610,5,2006,384,1444,2,2,WD
1611,5,1965,1068,1264,1,2,WD
1612,5,2004,1430,1430,2,2,WD
1613,5,1999,1344,1344,2,2,WD
1614,5,1973,945,945,1,1,WD
1615,4,1970,546,1092,1,0,WD
1616,4,1970,546,1092,1,0,WD
1617,4,1972,546,1092,1,1,WD
1618,5,1971,864,874,1,1,ConLD
1619,5,1984,833,833,1,2,WD
1620,5,1985,1216,2432,4,2,WD
1621,5,1991,624,1274,1,2,WD
1622,5,1969,864,1479,2,1,WD
1623,8,1994,1679,1803,2,2,WD
1624,6,1993,1152,1797,2,2,WD
1625,6,1956,882,882,1,1,WD
1626,6,1974,1434,1434,2,2,WD
1627,6,1997,945,1608,2,2,WD
1628,8,2003,1008,2283,2,3,WD
1629,7,1996,384,1628,2,2,WD
1630,8,2004,2208,2522,2,2,WD
1631,8,1998,1418,1478,2,2,WD
1632,8,1995,1587,1734,2,2,WD
1633,7,1998,384,1382,2,2,WD
1634,6,1998,952,1636,2,2,WD
1635,6,1994,707,1516,2,2,WD
1636,6,1993,1181,1190,2,2,WD
1637,5,1977,1122,1934,2,2,WD
1638,7,1978,832,2050,2,2,WD
1639,6,1978,1427,1671,2,2,WD
1640,7,1980,1043,2673,2,2,WD
1641,6,1978,1140,1707,2,2,WD
1642,7,2003,926,1884,2,2,WD
1643,8,2000,1058,1874,2,2,WD
1644,8,2002,972,1811,2,2,WD
1645,5,1975,1621,1621,2,2,WD
1646,6,1974,1116,1116,2,2,WD
1647,7,1975,1176,1193,2,2,WD
1648,5,1970,1180,1180,1,2,COD
1649,5,1971,1043,1050,1,1,WD
1650,4,1970,864,864,1,2,WD
1651,4,1971,864,864,1,2,WD
1652,6,1973,483,987,1,1,WD
1653,6,1972,483,987,1,1,WD
1654,6,1976,804,1548,2,2,WD
1655,7,1975,1057,1055,2,2,WD
1656,6,1977,855,1456,2,2,WD
1657,6,1978,804,1548,2,2,WD
1658,6,1978,855,1456,2,2,WD
1659,7,1976,836,836,1,1,WD
1660,5,1966,864,1120,1,2,WD
1661,9,2007,1776,2772,3,3,WD
1662,9,2009,1365,2690,2,3,New
1663,9,2008,2020,2020,2,3,WD
1664,10,2007,2630,2674,2,3,WD
1665,9,2008,1736,1736,2,3,WD
1666,8,2004,1782,1782,2,3,WD
1667,8,2007,1508,2520,2,3,WD
1668,9,2008,1739,1743,2,3,ConLI
1669,9,2006,1504,1531,2,3,WD
1670,9,2008,1774,1808,2,3,WD
1671,7,2003,1760,1760,2,2,WD
1672,9,2003,2452,2452,2,3,WD
1673,8,2003,1082,2400,3,3,WD
1674,8,2006,1598,1606,2,3,WD
1675,6,2005,1358,1358,2,2,WD
1676,6,2005,1306,1306,2,2,WD
1677,7,2007,1350,1358,2,2,WD
1678,10,2004,2492,2492,2,3,WD
1679,8,2003,2200,2200,2,3,WD
1680,9,2008,1884,1884,2,2,New
1681,9,2008,1451,1456,2,2,WD
1682,8,2002,1712,1712,2,3,WD
1683,7,2003,1405,1405,2,2,WD
1684,7,2005,728,1456,2,2,WD
1685,6,2005,745,1490,2,2,WD
1686,7,2005,1220,1220,2,2,WD
1687,7,2004,384,1374,2,2,WD
1688,7,2004,868,1630,2,2,WD
1689,7,2004,846,1594,2,2,WD
1690,7,2003,782,1489,2,2,WD
1691,7,2003,698,1342,2,2,WD
1692,8,2002,870,2004,2,3,WD
1693,7,2004,384,1374,2,2,WD
1694,6,2000,794,1514,2,2,WD
1695,7,1999,384,1430,2,2,WD
1696,7,1999,1177,2312,2,3,WD
1697,7,1999,384,1430,2,2,WD
1698,8,2000,1455,2687,2,3,WD
1699,8,1994,2024,2063,2,3,WD
1700,7,1995,1070,2061,2,2,WD
1701,8,1993,1173,2232,2,2,WD
1702,8,2008,1696,1696,2,3,WD
1703,8,2008,1614,1658,2,3,WD
1704,8,2007,1702,1702,2,3,WD
1705,8,2006,1422,1432,2,2,WD
1706,9,2005,2458,2490,2,3,WD
1707,7,2008,1436,1436,2,2,New
1708,7,2008,1402,1402,2,2,WD
1709,9,2007,1530,1530,2,3,WD
1710,8,2006,1372,1448,2,2,WD
1711,8,2006,900,1795,2,3,WD
1712,8,2008,1836,1836,2,2,New
1713,7,2006,1652,1662,2,3,WD
1714,7,2003,1553,1553,2,2,WD
1715,7,2003,812,1653,2,2,WD
1716,7,2007,1218,1218,1,2,WD
1717,7,2006,1141,1141,1,2,WD
1718,6,2004,1158,1158,1,0,WD
1719,7,2004,835,1812,2,2,WD
1720,8,2004,1512,1512,2,3,WD
1721,7,2004,1114,1114,1,2,WD
1722,5,2004,1114,1114,1,0,WD
1723,5,2003,1114,1114,2,2,WD
1724,7,2008,1450,1450,2,3,New
1725,7,1996,913,2122,2,2,WD
1726,6,1992,816,1730,2,2,WD
1727,6,1990,1332,1332,2,2,WD
1728,7,1994,754,1540,2,2,WD
1729,6,1986,676,1400,2,2,WD
1730,6,1981,0,1882,2,2,WD
1731,5,1962,980,980,1,2,WD
1732,5,1961,864,864,1,2,WD
1733,5,1961,864,864,1,1,WD
1734,5,1965,1024,1020,2,1,Oth
1735,5,1963,912,912,1,1,WD
1736,5,1962,912,912,1,1,WD
1737,8,1980,2014,2014,2,3,WD
1738,7,1991,975,1755,2,2,WD
1739,7,2004,1376,3005,2,3,WD
1740,6,2008,1726,1726,2,2,New
1741,6,2008,1145,1256,1,2,WD
1742,6,2000,756,1512,2,2,WD
1743,7,1999,691,1452,2,2,WD
1744,8,1977,1694,1694,2,2,WD
1745,7,1981,1740,1740,1,2,WD
1746,8,1976,392,2499,2,2,WD
1747,7,1974,752,2067,2,2,WD
1748,6,1967,932,2640,2,2,WD
1749,5,1969,1288,1336,2,2,WD
1750,6,1969,1216,1216,1,1,WD
1751,7,1977,908,2288,1,2,WD
1752,5,1967,864,864,1,1,WD
1753,5,1967,1568,1568,1,2,COD
1754,7,1974,1165,2061,2,2,COD
1755,6,1971,1232,1320,2,2,WD
1756,4,1960,894,894,1,2,WD
1757,5,1959,864,864,1,1,WD
1758,4,1957,1040,1362,1,3,WD
1759,5,1956,1048,1728,2,2,WD
1760,5,1961,1313,1313,1,2,WD
1761,5,1964,1292,1292,1,2,COD
1762,5,1965,744,2140,2,2,WD
1763,6,1961,1208,1576,1,2,WD
1764,5,1955,960,960,1,1,WD
1765,6,1967,1680,1691,1,2,WD
1766,6,1961,1453,1453,2,2,WD
1767,6,1966,1562,1567,2,2,WD
1768,5,1956,1169,1144,1,1,WD
1769,7,1960,1329,1329,1,2,WD
1770,6,1959,988,988,2,1,WD
1771,5,1956,1202,1202,1,1,COD
1772,5,1955,1382,1382,1,1,WD
1773,4,1956,1200,1200,1,1,WD
1774,5,1958,1866,1866,2,2,WD
1775,6,1954,1062,1062,1,1,WD
1776,5,1951,631,1112,1,2,WD
1777,5,1945,793,793,1,1,WD
1778,5,1952,1031,1031,1,1,WD
1779,5,1953,0,1210,1,1,ConLD
1780,7,1948,699,1527,1,2,WD
1781,5,1950,1200,1200,1,1,WD
1782,3,1958,792,792,1,1,WD
1783,5,1939,676,1352,2,2,WD
1784,4,1900,405,1039,1,1,WD
1785,5,1925,1054,1078,1,1,WD
1786,4,1915,1313,2377,2,2,WD
1787,7,1910,560,1690,2,2,WD
1788,2,1940,416,599,1,0,WD
1789,5,1920,720,846,1,2,WD
1790,3,1890,630,725,1,1,WD
1791,6,1969,1248,2544,2,3,WD
1792,6,1963,1380,1380,1,1,WD
1793,6,1967,1040,1040,1,2,WD
1794,6,1958,951,951,1,2,WD
1795,6,1957,1105,1105,1,1,WD
1796,6,1958,160,1142,1,1,WD
1797,6,1950,795,1133,1,2,COD
1798,5,1958,1041,1041,1,1,WD
1799,5,1952,732,732,1,1,WD
1800,5,1959,528,1183,1,1,WD
1801,4,1949,832,1461,2,1,WD
1802,6,1948,864,1495,1,2,COD
1803,6,1964,780,1806,1,2,WD
1804,5,1978,941,941,1,2,WD
1805,6,1963,1045,1045,1,1,WD
1806,6,1935,901,1378,1,1,WD
1807,6,1910,972,1944,2,2,WD
1808,5,1910,240,1306,1,2,WD
1809,5,1910,504,1464,2,0,WD
1810,5,1939,690,1558,1,2,WD
1811,4,1920,600,1701,2,0,WD
1812,5,1910,801,1447,1,0,WD
1813,5,1950,768,1328,1,1,WD
1814,4,1920,861,861,1,2,Oth
1815,2,1940,0,612,1,1,WD
1816,5,1923,624,792,1,1,WD
1817,4,1910,677,1510,2,2,WD
1818,6,1900,917,2007,2,1,WD
1819,6,1917,624,1288,1,1,WD
1820,4,1910,624,816,1,0,WD
1821,6,1920,972,1480,1,1,ConLI
1822,6,1910,741,1521,1,3,WD
1823,3,1900,245,797,1,0,WD
1824,6,1923,1022,1432,1,1,WD
1825,5,1930,297,1654,2,1,WD
1826,5,1924,468,1142,1,1,WD
1827,5,1925,960,995,1,1,WD
1828,5,1938,952,1582,2,1,WD
1829,5,1925,1072,1072,1,5,WD
1830,6,1915,1048,1768,2,2,WD
1831,7,1915,672,1944,2,1,WD
1832,5,1922,1040,2128,2,0,WD
1833,6,1927,720,1930,2,1,WD
1834,6,1915,483,1427,1,1,WD
1835,7,1902,1020,1864,2,0,WD
1836,6,1927,1204,1666,1,1,WD
1837,4,1923,858,892,1,0,COD
1838,6,1915,698,1403,1,1,WD
1839,4,1946,560,704,1,1,WD
1840,5,1987,1200,1200,3,0,WD
1841,5,1978,1152,1152,2,1,WD
1842,5,1934,585,1112,2,1,WD
1843,5,1967,1052,1052,1,1,WD
1844,6,1978,456,1034,1,2,WD
1845,5,1961,552,1774,2,1,WD
1846,6,1960,1138,1138,1,2,COD
1847,5,1956,825,2071,1,1,WD
1848,2,1947,0,660,1,0,WD
1849,4,1954,0,1383,1,2,WD
1850,5,1956,1073,1073,1,1,WD
1851,6,1946,747,1639,1,1,WD
1852,5,1954,1089,1089,1,1,WD
1853,5,1984,1049,1049,2,1,WD
1854,7,1990,1054,1061,1,2,WD
1855,6,1983,520,1338,1,2,WD
1856,7,1993,1079,1879,2,2,WD
1857,5,1880,0,2016,1,2,WD
1858,5,1979,0,2228,2,2,WD
1859,5,1979,0,1535,2,2,WD
1860,5,1979,1094,1229,0,2,WD
1861,5,1979,0,1513,2,2,WD
1862,7,2000,1168,2787,4,4,WD
1863,7,2000,1168,2787,4,4,WD
1864,7,2000,1168,2787,4,4,WD
1865,9,2009,1555,1680,1,3,New
1866,9,2008,1720,1720,2,3,WD
1867,8,2008,1468,1468,2,3,WD
1868,8,2007,1838,1838,2,2,WD
1869,7,2007,1282,1290,2,2,WD
1870,8,2008,1254,1254,2,3,WD
1871,8,2005,1498,1498,2,3,WD
1872,6,2005,704,1422,2,2,WD
1873,7,1992,1449,1759,2,2,WD
1874,5,1994,990,990,1,1,WD
1875,7,1998,1463,1463,2,2,WD
1876,6,1998,928,1772,2,2,WD
1877,7,2002,1431,1444,2,2,WD
1878,7,2001,1492,1492,2,2,WD
1879,5,1978,907,907,1,1,WD
1880,5,1979,914,914,1,2,WD
1881,7,2002,1569,1611,2,3,WD
1882,8,2003,1068,2184,2,2,WD
1883,7,2002,840,1725,2,2,WD
1884,7,2001,944,1870,2,2,WD
1885,8,1999,1462,1513,2,2,WD
1886,8,2002,1822,1828,2,2,WD
1887,7,1997,1417,1417,2,2,WD
1888,8,2007,1578,1602,2,3,WD
1889,6,2007,608,1396,2,2,WD
1890,4,1960,1014,1149,1,1,WD
1891,6,2005,547,1072,1,2,WD
1892,4,1959,876,876,1,1,WD
1893,5,1950,1078,1368,1,1,WD
1894,5,1959,1678,1678,2,0,WD
1895,5,1956,1150,1560,1,1,WD
1896,5,1941,720,1298,1,1,WD
1897,5,1938,832,1268,1,1,WD
1898,6,1935,583,1242,1,1,WD
1899,6,1916,816,1232,1,2,WD
1900,7,1918,600,1228,1,1,WD
1901,5,1940,840,1567,1,2,WD
1902,5,1960,1273,1273,1,1,WD
1903,7,1940,920,2480,2,2,WD
1904,5,1954,1112,1112,1,1,WD
1905,6,1960,1561,1561,2,2,WD
1906,5,1949,1067,1523,2,1,WD
1907,6,1954,1310,1906,1,2,WD
1908,6,1980,516,1032,1,2,WD
1909,6,1980,561,1229,1,2,WD
1910,6,1980,561,1229,1,2,WD
1911,6,1986,572,1982,2,2,WD
1912,7,1971,1803,2365,2,2,WD
1913,5,1900,760,2168,2,2,WD
1914,4,1925,572,572,1,1,WD
1915,8,2007,1596,1648,2,2,New
1916,2,1910,0,810,1,1,ConLD
1917,8,2000,1107,2052,2,3,WD
1918,6,1977,902,926,1,1,WD
1919,6,1977,957,1287,1,2,WD
1920,5,1991,1582,1595,2,2,COD
1921,9,2008,2190,2036,2,3,WD
1922,9,2008,1641,1641,2,3,WD
1923,6,1980,712,2237,2,2,WD
1924,7,1987,1645,1479,2,2,WD
1925,7,2003,912,2014,2,2,WD
1926,9,2007,1978,1978,2,3,WD
1927,5,1968,1008,1008,1,1,WD
1928,5,1969,1188,1404,2,2,WD
1929,5,1972,796,796,1,1,WD
1930,6,1993,384,1091,1,1,WD
1931,5,1992,828,883,1,2,WD
1932,5,1992,624,1287,1,2,WD
1933,5,1969,784,1632,1,2,WD
1934,6,1997,926,1604,2,2,WD
1935,6,1995,680,1470,2,2,WD
1936,6,1998,926,1604,2,2,WD
1937,6,1996,916,1636,2,2,WD
1938,5,1996,1348,1384,2,2,WD
1939,8,1997,1664,1682,1,2,WD
1940,8,1992,1280,1280,2,2,WD
1941,6,1998,932,1633,2,2,WD
1942,6,1991,836,1709,2,2,WD
1943,8,1989,1337,1337,2,2,WD
1944,8,2005,1168,2500,3,3,WD
1945,9,2004,1884,1884,2,3,WD
1946,6,1952,1632,1474,1,2,WD
1947,9,2007,1710,1710,2,2,WD
1948,6,1950,1488,1488,2,2,WD
1949,7,1988,1675,1688,2,2,WD
1950,7,1983,1260,1260,2,2,WD
1951,7,1978,2048,2064,2,2,WD
1952,7,1979,1782,1782,2,2,WD
1953,6,1976,1211,1211,2,2,WD
1954,7,1980,738,2044,2,2,WD
1955,5,1969,720,1308,1,2,WD
1956,7,1978,1420,2840,2,4,WD
1957,6,1976,1444,1444,2,2,WD
1958,8,1996,1236,2340,2,3,WD
1959,5,1974,896,1792,2,2,WD
1960,4,1969,936,936,1,1,COD
1961,5,1971,864,864,1,2,WD
1962,6,1973,483,987,1,1,WD
1963,6,1972,483,987,1,1,WD
1964,5,1972,630,1302,2,1,WD
1965,6,1975,855,1456,2,2,WD
1966,7,1977,1055,1055,2,2,WD
1967,8,2007,1582,1582,2,3,New
1968,8,2007,2418,2464,2,3,WD
1969,9,2007,1950,1950,2,3,WD
1970,9,2006,1850,2748,2,3,WD
1971,10,2005,1620,2790,2,4,WD
1972,9,2005,1414,2331,2,3,WD
1973,8,2007,948,2088,2,3,WD
1974,8,2004,1148,2332,2,3,WD
1975,10,2003,2535,2470,1,3,WD
1976,8,2003,1603,1575,2,3,WD
1977,8,2001,1479,2649,2,3,WD
1978,8,2003,1765,2690,2,3,WD
1979,9,2008,1858,1866,2,3,New
1980,7,2005,1367,1367,2,2,WD
1981,9,2007,1800,1800,2,3,New
1982,8,2006,1342,1342,2,2,WD
1983,8,2006,1342,1342,2,2,WD
1984,7,2003,764,1626,2,2,WD
1985,7,2003,1415,1455,2,3,WD
1986,7,2004,1393,1576,2,3,WD
1987,7,2007,1146,1246,2,2,New
1988,6,2004,789,1515,2,2,WD
1989,7,2002,840,1720,2,2,WD
1990,7,2003,847,1986,2,2,WD
1991,7,2007,1350,1358,2,2,New
1992,7,2000,982,1892,2,2,WD
1993,7,2002,707,1414,2,2,WD
1994,7,1999,1037,2322,2,2,WD
1995,7,1999,831,1651,2,2,WD
1996,8,1997,1173,2199,2,2,WD
1997,9,2000,1519,2172,2,3,WD
1998,8,1998,1982,2006,2,3,WD
1999,7,1996,1064,2125,2,2,WD
2000,8,1995,1242,2501,2,3,WD
2001,7,1993,1080,2197,2,3,WD
2002,7,2006,1578,1578,2,3,WD
2003,8,2007,1341,1861,3,3,WD
2004,8,2007,955,1874,2,3,New
2005,8,2006,1460,1460,2,2,WD
2006,8,2007,1363,1372,2,2,New
2007,8,2007,1660,1660,2,3,WD
2008,7,2007,1218,1218,2,2,New
2009,6,2003,835,1696,2,2,WD
2010,7,2003,835,1663,2,2,WD
2011,6,2005,1175,1175,1,0,WD
2012,7,2007,1162,1162,2,2,WD
2013,6,1995,754,1609,2,2,WD
2014,6,1993,886,1680,2,2,WD
2015,7,1994,832,1657,2,2,WD
2016,6,2001,827,1677,2,2,WD
2017,7,1992,836,1737,2,2,WD
2018,5,1963,984,984,1,1,WD
2019,5,1961,864,864,1,1,WD
2020,5,1968,890,890,1,1,WD
2021,5,1963,864,864,1,1,COD
2022,6,1974,1430,1430,2,2,WD
2023,5,1972,1001,1641,2,2,WD
2024,6,1990,930,2683,2,2,WD
2025,9,1993,1848,2786,2,2,WD
2026,7,2004,1235,1245,2,2,WD
2027,6,2005,600,1200,2,2,WD
2028,7,2007,689,1392,2,2,WD
2029,6,1999,744,1549,2,2,WD
2030,9,2000,1614,1638,2,2,WD
2031,9,2001,1310,1310,1,2,WD
2032,9,2001,1419,1419,1,2,WD
2033,9,1999,1557,1557,2,2,WD
2034,7,1999,672,1404,2,2,WD
2035,7,2001,858,1789,2,2,WD
2036,8,1999,960,1586,2,2,WD
2037,8,1999,960,1607,2,2,ConLD
2038,10,1998,970,2393,2,2,WD
2039,8,1995,1230,1239,1,2,WD
2040,9,1977,994,2944,2,3,WD
2041,8,1976,1426,1671,3,2,WD
2042,7,2002,952,1812,2,2,WD
2043,6,1969,1427,1427,2,2,WD
2044,6,1968,1740,1740,1,2,WD
2045,7,1967,1620,1620,2,2,WD
2046,5,1965,1625,1625,2,2,ConLD
2047,5,1968,732,1464,1,2,WD
2048,5,1965,912,925,1,2,WD
2049,5,1965,1728,1728,2,2,WD
2050,7,1971,825,1670,1,2,WD
2051,5,1956,0,1014,1,1,WD
2052,5,1961,1114,1114,1,2,COD
2053,5,1960,1118,1118,1,1,WD
2054,4,1937,348,906,1,1,WD
2055,5,1960,1296,1496,2,2,WD
2056,5,1950,572,1337,1,1,WD
2057,5,1953,1036,1036,1,1,WD
2058,6,1966,1104,1988,2,2,WD
2059,5,1957,1176,1176,1,1,WD
2060,5,1959,1248,1440,2,1,WD
2061,6,1958,1395,1570,1,2,WD
2062,5,1956,1104,1104,1,1,WD
2063,5,1952,720,882,1,1,WD
2064,5,1953,1152,1152,1,2,WD
2065,5,1953,984,950,1,2,WD
2066,6,1957,998,1790,2,2,WD
2067,5,1957,0,1764,2,1,WD
2068,5,1957,1824,1824,2,2,WD
2069,4,1948,0,869,1,1,WD
2070,5,1925,747,1159,1,1,WD
2071,4,1940,672,672,1,1,WD
2072,5,1922,892,1436,1,4,WD
2073,5,1968,912,1044,1,2,WD
2074,7,1958,1312,1312,1,2,WD
2075,6,1960,1081,1081,1,1,WD
2076,5,1951,876,876,1,2,WD
2077,5,1959,1256,1256,1,1,WD
2078,5,1962,1027,1027,1,1,WD
2079,6,1948,768,1320,2,2,WD
2080,6,1954,936,984,1,1,WD
2081,6,1954,854,1278,1,1,WD
2082,5,1961,1800,1800,2,0,WD
2083,5,1955,768,1588,1,2,WD
2084,5,1954,825,825,1,1,WD
2085,5,1963,1117,1117,1,1,COD
2086,6,2008,192,1133,1,1,WD
2087,5,1948,780,1323,1,2,WD
2088,5,1910,680,1360,1,1,WD
2089,5,1940,672,672,1,1,WD
2090,6,1915,728,1456,1,1,WD
2091,4,1910,828,1594,2,0,WD
2092,4,1940,801,1656,2,2,WD
2093,5,1920,936,1740,1,1,WD
2094,7,1920,931,1027,1,0,WD
2095,6,1940,884,1436,2,2,Con
2096,5,1910,481,899,1,1,WD
2097,5,1890,684,1080,1,0,WD
2098,5,1946,904,1499,1,3,WD
2099,2,1946,407,407,1,1,WD
2100,3,1949,448,1588,2,0,WD
2101,5,1900,797,1627,2,2,WD
2102,7,1920,624,1450,1,1,WD
2103,5,1900,346,1017,1,1,WD
2104,5,1920,973,2350,2,2,WD
2105,5,1905,572,1540,1,0,WD
2106,2,1920,723,1086,1,2,ConLD
2107,7,1890,1313,2495,2,2,WD
2108,5,1959,984,984,1,1,WD
2109,4,1958,869,1093,1,1,WD
2110,5,1928,1008,1143,1,1,WD
2111,7,1945,672,1668,1,1,WD
2112,5,1935,1024,1738,2,1,WD
2113,5,1941,672,1210,1,1,WD
2114,6,1900,554,1290,1,1,WD
2115,6,1940,981,1672,1,1,WD
2116,5,1924,949,949,1,2,WD
2117,6,1937,825,1497,2,1,WD
2118,6,1939,739,1342,2,1,WD
2119,6,1926,992,1013,1,1,WD
2120,5,1920,565,1216,1,1,WD
2121,4,1946,NA,896,1,1,ConLD
2122,4,1929,704,1136,1,1,WD
2123,5,1945,0,808,1,1,WD
2124,7,1939,989,2009,2,2,WD
2125,5,1923,1100,1902,2,2,WD
2126,6,1915,810,1716,2,2,WD
2127,6,1910,1242,1984,2,1,WD
2128,6,1910,796,1609,1,1,WD
2129,6,1930,768,768,1,2,WD
2130,6,1952,768,1536,1,1,COD
2131,6,1938,1272,1969,2,2,COD
2132,5,1915,880,1308,2,2,WD
2133,6,1925,1040,1040,1,2,WD
2134,6,1925,768,1236,2,1,WD
2135,5,1912,451,759,1,2,ConLD
2136,3,1915,536,1344,2,0,WD
2137,5,1947,1046,1054,1,1,WD
2138,5,1963,981,1075,1,2,WD
2139,6,1978,1008,1096,1,2,WD
2140,5,1967,992,992,1,1,WD
2141,6,1978,450,1034,1,2,WD
2142,5,1967,1073,1073,1,1,WD
