Id,OverallQual,YearBuilt,TotalBsmtSF,GrLivArea,FullBath,SaleType,GarageCars,SalePrice
255,5,1957,1314,1314,1,WD,1,145000
256,7,1999,975,2291,2,WD,2,230000
257,6,2003,864,1728,2,WD,2,207500
258,7,2006,1604,1604,2,WD,2,220000
259,7,2001,963,1792,2,WD,2,231500
260,5,1956,0,882,1,WD,1,97000
261,6,1962,1362,1382,1,WD,2,176000
262,8,2007,1482,2574,2,New,3,276000
263,6,1977,506,1212,1,WD,2,151000
264,5,1929,926,1316,1,WD,2,130000
265,5,1925,680,764,1,WD,2,73000
266,6,1981,1422,1422,2,WD,2,175500
267,6,1997,802,1511,2,WD,2,185000
268,5,1939,720,2192,2,WD,1,179500
269,5,1940,740,778,1,WD,1,120500
270,6,1976,1143,1113,1,WD,1,148000
271,8,2006,1095,1939,2,New,3,266000
272,7,1954,1385,1363,1,WD,2,241500
273,8,1999,1152,2270,2,WD,3,290000
274,6,1958,1240,1632,2,WD,1,139000
275,5,1982,816,816,1,WD,1,124500
276,7,1925,952,1548,2,WD,2,205000
277,7,2003,1560,1560,2,WD,2,201000
278,4,1951,864,864,1,WD,2,141000
279,9,2006,2121,2121,2,New,3,415298
280,7,1977,1160,2022,2,WD,2,192000
281,7,1989,807,1982,2,WD,2,228500
282,6,2006,1262,1262,2,New,2,185000
283,7,2007,1314,1314,2,ConLw,2,207500
284,8,2008,1468,1468,2,New,3,244600
285,6,1992,1575,1575,2,WD,2,179200
286,7,2006,625,1250,2,New,2,164700
287,6,1962,912,1734,1,WD,2,159000
288,4,1971,858,858,1,WD,0,88000
289,5,1967,882,900,1,WD,1,122000
290,6,1915,698,1396,1,WD,1,153575
291,8,2006,1079,1919,2,New,2,233230
292,5,1912,780,1716,2,WD,0,135900
293,5,1949,768,1716,1,WD,1,131000
294,7,1977,795,2263,2,WD,2,235000
295,6,1953,1416,1644,1,WD,2,167000
296,6,1984,1003,1003,1,WD,2,142500
297,5,1950,910,1558,1,WD,1,152000
298,7,1997,975,1950,2,WD,2,239000
299,6,1968,702,1743,1,WD,2,175000
300,6,1950,1092,1152,1,WD,1,158500
301,5,1953,1165,1336,1,WD,1,157000
302,8,1998,1028,2452,2,WD,2,267000
303,7,2001,1541,1541,2,WD,3,205000
304,5,1972,894,894,1,WD,2,149900
305,7,1880,1470,3493,3,WD,3,295000
306,8,2004,2000,2000,2,WD,3,305900
307,7,1990,700,2243,2,WD,3,225000
308,6,1920,319,1406,1,WD,0,89500
309,4,1940,861,861,1,WD,2,82500
310,9,2003,1896,1944,2,WD,3,360000
311,6,1993,697,1501,2,WD,2,165600
312,6,1948,972,972,1,WD,1,132000
313,5,1939,793,1118,1,WD,2,119900
314,7,1965,2136,2036,2,WD,2,375000
315,7,1925,728,1641,1,WD,2,178000
316,7,2004,716,1432,2,WD,2,188500
317,7,1980,845,2353,2,WD,2,260000
318,8,2006,1088,1959,2,WD,3,270000
319,7,1993,1347,2646,2,WD,3,260000
320,7,1980,1372,1472,2,WD,2,187500
321,9,2006,1249,2596,3,New,3,342643
322,8,2004,1136,2468,2,WD,3,354000
323,7,1986,1502,2730,2,WD,2,301000
324,3,1955,1162,1163,1,WD,1,126175
325,7,1967,710,2978,2,WD,2,242000
326,5,1941,720,803,1,WD,2,87000
327,8,1993,1719,1719,1,Con,2,324000
328,6,1960,1383,1383,1,WD,1,145250
329,6,1916,844,2134,2,WD,2,214500
330,5,1920,596,1192,1,WD,1,78000
331,5,1964,1728,1728,2,WD,1,119000
332,5,1958,1056,1056,1,WD,1,139000
333,8,2003,3206,1629,2,WD,3,284000
334,7,2004,1358,1358,2,WD,2,207000
335,6,1998,943,1638,2,WD,2,192000
336,5,1965,1499,1786,2,WD,2,228950
337,9,2005,1922,1922,2,WD,3,377426
338,7,2002,1536,1536,2,WD,2,214000
339,7,1984,1208,1621,2,WD,2,202500
340,6,1958,1215,1215,1,WD,1,155000
341,8,2002,967,1908,2,WD,2,202900
342,4,1950,721,841,1,WD,1,82000
343,3,1949,0,1040,2,WD,2,87500
344,9,2005,1684,1684,2,WD,2,266000
345,5,1976,536,1112,1,WD,1,85000
346,6,1939,972,1577,1,WD,1,140200
347,6,1960,958,958,1,WD,1,151500
348,6,1960,1478,1478,2,WD,2,157500
349,7,2003,764,1626,2,WD,2,154000
350,9,2005,1848,2728,2,New,3,437154
351,9,2007,1869,1869,2,New,2,318061
352,7,1986,1453,1453,1,WD,2,190000
353,5,1941,616,1111,1,ConLw,1,95000
354,6,1928,624,720,1,WD,2,105900
355,6,1940,940,1595,1,WD,1,140000
356,6,1995,1200,1200,2,WD,2,177500
357,6,1992,1158,1167,2,WD,2,173000
358,5,1976,1142,1142,1,WD,2,134000
359,5,1958,1062,1352,1,WD,1,130000
360,8,1998,1086,1924,2,WD,2,280000
361,6,1978,888,912,1,WD,2,156000
362,5,1940,883,1505,1,WD,1,145000
363,7,2003,0,1922,3,ConLD,2,198500
364,6,1972,483,987,1,WD,1,118000
365,6,1976,796,1574,2,WD,2,190000
366,5,1920,672,1344,1,WD,1,147000
367,6,1963,1394,1394,1,WD,2,159000
368,6,1962,1099,1431,1,WD,1,165000
369,5,1954,1268,1268,1,WD,1,132000
370,5,1959,1063,1287,1,WD,2,162000
371,6,2000,953,1664,2,WD,2,172400
372,4,1959,0,1588,2,WD,2,134432
373,6,1984,744,752,1,WD,1,125000
374,5,1953,608,1319,1,WD,1,123000
375,7,2003,847,1928,2,WD,2,219500
376,1,1922,683,904,0,WD,0,61000
377,5,1996,870,914,1,WD,2,148000
378,8,2004,1580,2466,3,WD,2,340000
379,9,2010,1856,1856,1,New,3,394432
380,6,2000,982,1800,2,WD,2,179000
381,5,1924,1026,1691,2,WD,1,127000
382,7,2006,1293,1301,2,New,2,187750
383,7,2006,939,1797,2,WD,2,213500
384,6,1928,784,784,1,WD,2,76000
385,6,1992,1580,1953,2,WD,2,240000
386,8,2004,1256,1269,2,WD,2,192000
387,5,1910,658,1184,1,WD,0,81000
388,6,1976,1041,1125,1,WD,1,125000
389,7,1999,1468,1479,2,WD,2,191000
390,10,2007,1682,2332,2,New,3,426000
391,5,1900,861,1367,1,WD,1,119000
392,6,2001,804,1961,2,WD,2,215000
393,5,1959,0,882,1,WD,1,106500
394,4,1941,788,788,1,WD,0,100000
395,5,1940,735,1034,1,WD,1,109000
396,5,1956,1144,1144,1,WD,1,129000
397,5,1972,894,894,1,WD,2,123000
398,5,1962,864,1812,2,WD,1,169500
399,5,1920,961,1077,1,WD,1,67000
400,7,2006,1092,1550,2,WD,2,241000
401,8,1996,1260,1288,1,WD,2,245500
402,7,2005,1310,1310,2,New,2,164990
403,5,1940,672,672,1,WD,1,108000
404,8,1998,1141,2263,2,WD,2,258000
405,6,1995,806,1572,2,WD,2,168000
406,4,1976,1281,1620,2,WD,2,150000
407,6,1936,1064,1639,1,WD,1,115000
408,6,1915,840,1680,2,WD,1,177000
409,7,2006,1063,2172,2,New,3,280000
410,8,2007,1034,2078,2,New,3,339750
411,5,1958,1276,1276,1,COD,1,60000
412,5,1955,1056,1056,1,WD,2,145000
413,7,2009,1470,1478,2,New,2,222000
414,5,1927,1008,1028,1,WD,2,115000
415,7,1993,1080,2097,2,WD,3,228000
416,7,2007,1340,1340,2,New,2,181134
417,6,1978,672,1400,1,WD,2,149500
418,6,1918,1370,2624,2,WD,3,239000
419,5,1940,756,1134,1,WD,1,126000
420,5,1968,1056,1056,1,WD,1,142000
421,7,1997,1344,1344,2,WD,4,206300
422,6,1977,1602,1602,2,WD,2,215000
423,5,1954,988,988,1,WD,2,113000
424,8,1998,1470,2630,2,WD,3,315000
425,6,1956,1196,1196,1,WD,1,139000
426,7,1946,651,1389,1,WD,1,135000
427,7,1989,1518,1644,2,WD,2,275000
428,4,1957,907,907,1,WD,1,109008
429,7,2007,1208,1208,2,New,2,195400
430,6,1988,1392,1412,2,WD,2,175000
431,6,1971,483,987,1,COD,1,85400
432,6,1920,901,1198,1,ConLD,0,79900
433,5,1971,765,1365,1,WD,2,122500
434,6,1997,926,1604,2,WD,2,181000
435,4,1972,630,630,1,WD,0,81000
436,7,1996,799,1661,2,ConLw,2,212000
437,6,1920,648,1118,1,WD,2,116000
438,6,1926,884,904,1,WD,1,119000
439,5,1913,440,694,1,WD,1,90350
440,6,1920,684,1196,1,ConLI,2,110000
441,10,2008,3094,2402,2,WD,3,555000
442,4,1955,1440,1440,2,WD,0,118000
443,5,1930,1078,1573,2,WD,2,162900
444,7,2006,1258,1258,2,New,3,172500
445,7,1994,915,1908,2,WD,2,210000
446,6,1956,1436,1689,1,COD,2,127500
447,6,1966,1517,1888,2,WD,2,190000
448,7,1998,930,1886,2,WD,2,199900
449,6,1937,780,1376,2,WD,1,119500
450,3,1948,649,1183,1,WD,1,120000
451,6,1930,813,813,1,WD,1,110000
452,7,1975,1533,1533,2,WD,2,280000
453,6,1996,872,1756,2,WD,2,204000
454,8,2008,768,1590,2,WD,2,210000
455,5,1976,1728,1728,2,WD,2,188000
456,7,1973,1242,1242,1,WD,2,175500
457,5,1916,624,1344,1,COD,3,98000
458,4,1954,1364,1663,1,WD,2,256000
459,8,1925,588,1666,1,WD,1,161000
460,5,1950,709,1203,1,WD,1,110000
461,8,2009,832,1935,2,New,2,263435
462,7,1936,560,1135,1,WD,2,155000
463,5,1965,864,864,1,WD,1,62383
464,6,1934,715,1660,1,WD,1,188700
465,5,1978,1040,1040,2,WD,0,124000
466,7,2004,1375,1414,2,WD,2,178740
467,7,1970,1277,1277,1,WD,2,167000
468,5,1942,728,1644,1,WD,1,146500
469,8,2006,1626,1634,2,WD,3,250000
470,6,1993,832,1710,2,WD,2,187000
471,8,1985,1488,1502,1,WD,2,212000
472,7,1977,808,1969,2,WD,2,190000
473,6,2005,547,1072,1,WD,2,148000
474,8,2006,1976,1976,2,New,3,440000
475,8,2000,1494,1652,2,WD,2,251000
476,5,1963,970,970,1,WD,2,132500
477,6,1997,1478,1493,2,WD,2,208900
478,9,2006,2153,2643,2,WD,3,380000
479,8,2007,1705,1718,2,WD,3,297000
480,4,1937,907,1131,1,WD,2,89471
481,9,2004,1833,1850,2,WD,3,326000
482,9,2003,1792,1792,2,WD,3,374000
483,7,1915,910,1826,1,WD,1,155000
484,6,1998,1216,1216,2,WD,2,164000
485,5,1962,999,999,1,WD,1,132500
486,5,1950,1113,1113,1,WD,1,147000
487,5,1965,1073,1073,1,WD,2,156000
488,5,1971,1484,1484,2,WD,2,175000
489,5,1900,954,2414,2,ConLD,2,160000
490,4,1970,630,630,1,WD,1,86000
491,5,1976,264,1304,1,WD,1,115000
492,6,1941,806,1578,1,WD,1,133000
493,6,2006,728,1456,2,New,2,172785
494,5,1960,1269,1269,1,WD,1,155000
495,5,1938,190,886,1,WD,1,91300
496,4,1920,720,720,1,WD,0,34900
497,8,1992,3200,3228,3,WD,2,430000
498,7,1925,1026,1820,2,WD,1,184000
499,5,1967,864,899,1,WD,1,130000
500,5,1958,912,912,1,WD,1,120000
501,6,1973,672,1218,1,WD,1,113000
502,7,2005,866,1768,2,WD,2,226700
503,5,1965,1214,1214,1,WD,2,140000
504,7,1959,1501,1801,2,WD,2,289000
505,6,1974,855,1322,2,WD,2,147000
506,5,1952,960,1960,2,COD,2,124500
507,8,1993,777,1911,2,WD,2,215000
508,6,2009,1218,1218,2,New,2,208300
509,7,1928,689,1378,2,WD,2,161000
510,5,1959,1041,1041,1,WD,1,124500
511,5,1951,1008,1363,1,WD,1,164900
512,7,2005,1368,1368,2,New,2,202665
513,5,1958,864,864,1,WD,2,129900
514,6,1983,1084,1080,1,WD,2,134000
515,5,1926,768,789,1,WD,1,96500
516,10,2009,2006,2020,2,New,3,402861
517,6,1972,689,2119,2,COD,2,158000
518,7,1996,1264,2344,2,WD,3,265000
519,6,1998,794,1796,2,WD,2,211000
520,7,1926,1276,2080,1,WD,1,234000
521,4,1900,0,1294,2,WD,0,106250
522,6,1957,1244,1244,1,WD,1,150000
523,6,1947,1004,1664,2,WD,2,159000
524,10,2007,3138,4676,3,New,3,184750
525,7,1996,1379,2398,2,WD,3,315750
526,7,2005,1257,1266,2,WD,2,176000
527,5,1956,928,928,1,WD,1,132000
528,9,2008,1452,2713,2,New,3,446261
529,4,1920,528,605,1,WD,0,86000
530,6,1957,2035,2515,3,WD,2,200624
531,6,1988,1461,1509,2,WD,2,175000
532,6,1920,611,1362,2,WD,2,128000
533,5,1955,0,827,1,WD,1,107500
534,1,1946,0,334,1,WD,0,39300
535,8,2004,707,1414,2,WD,2,178000
536,5,1910,1117,1347,1,WD,0,107500
537,7,1998,880,1724,2,WD,2,188000
538,4,1972,864,864,1,COD,2,111250
539,5,1968,1051,1159,1,WD,1,158000
540,8,2001,1581,1601,2,WD,2,272000
541,9,2006,1838,1838,2,WD,3,315000
542,8,2000,969,2285,2,WD,3,248000
543,7,1998,1650,1680,2,WD,2,213250
544,7,1998,723,767,1,WD,1,133000
545,7,2006,654,1496,2,New,2,179665
546,7,1988,1204,2183,2,WD,3,229000
547,6,1923,1065,1635,1,WD,2,210000
548,5,1970,768,768,1,WD,2,129500
549,5,1955,825,825,1,WD,2,125000
550,7,2003,912,2094,2,WD,2,263000
551,6,1977,1069,1069,2,COD,2,140000
552,5,1957,928,928,1,WD,1,112500
553,8,2006,1709,1717,2,WD,3,255500
554,4,1949,0,1126,2,WD,2,108000
555,7,2003,998,2046,2,WD,3,284000
556,5,1922,993,1048,1,WD,1,113000
557,5,1957,1092,1092,1,WD,1,141000
558,4,1920,637,1336,1,COD,1,108000
559,7,1996,729,1446,2,WD,2,175000
560,7,2003,1374,1557,2,WD,2,234000
561,5,1957,1392,1392,1,WD,2,121500
562,5,1974,1389,1389,1,WD,2,170000
563,5,1940,996,996,1,WD,0,108000
564,6,1918,1163,1674,2,WD,2,185000
565,7,1992,1095,2295,2,WD,2,268000
566,6,1915,806,1647,1,WD,1,128000
567,9,2005,1122,2504,2,WD,3,325000
568,7,2004,1517,1535,2,WD,2,214000
569,8,1983,1496,2132,1,WD,2,316600
570,5,1979,943,943,1,WD,2,135960
571,5,1965,1728,1728,2,WD,2,142600
572,6,1959,864,864,1,WD,1,120000
573,7,2009,846,1692,2,New,2,224500
574,7,2000,384,1430,2,WD,2,170000
575,5,1971,372,1109,1,WD,1,139000
576,5,1947,832,1216,1,COD,1,118500
577,7,1928,861,1477,2,WD,1,145000
578,5,1966,1164,1320,1,WD,2,164500
579,7,2007,689,1392,2,WD,2,146000
580,5,1954,1050,1795,2,WD,1,131500
581,6,1960,1144,1429,1,WD,2,181900
582,8,2008,2042,2042,2,New,3,253293
583,6,1990,816,816,1,WD,0,118500
584,10,1893,1237,2775,3,WD,2,325000
585,4,1935,884,1573,1,WD,1,133000
586,8,2005,1868,2028,2,New,3,369900
587,6,1918,816,838,1,WD,1,130000
588,5,1982,840,860,1,WD,2,137000
589,5,1968,1437,1473,1,WD,1,143000
590,5,1930,742,935,1,WD,1,79500
591,7,2004,770,1582,2,WD,2,185900
592,10,2008,1722,2296,2,ConLI,3,451950
593,5,1982,816,816,1,WD,2,138000
594,6,2003,848,848,1,WD,2,140000
595,5,1975,924,924,1,WD,1,110000
596,8,2005,1814,1826,2,New,3,319000
597,6,1910,684,1368,1,WD,1,114504
598,7,2006,1258,1402,0,New,3,194201
599,5,1977,1430,1647,2,WD,2,217500
600,6,1980,716,1556,2,COD,2,151000
601,8,2005,1058,1904,2,WD,2,275000
602,6,1937,780,1375,1,WD,1,141000
603,8,1992,908,1915,2,WD,2,220000
604,7,2004,600,1200,2,WD,2,151000
605,7,2002,1494,1494,2,WD,2,221000
606,7,1965,768,1986,2,WD,2,205000
607,5,1996,1040,1040,1,WD,2,152000
608,5,1948,896,2008,3,WD,1,225000
609,8,1934,965,3194,2,WD,2,359100
610,4,1961,1029,1029,1,WD,1,118500
611,9,2000,1440,2153,2,WD,3,313000
612,6,1978,1032,1032,2,WD,2,148000
613,8,2001,1299,1872,2,WD,2,261500
614,5,2007,1120,1120,1,New,0,147000
615,4,1972,630,630,1,WD,0,75500
616,6,1963,936,1054,1,WD,2,137500
617,6,2002,783,1509,2,WD,2,183200
618,6,1954,832,832,1,WD,2,105500
619,9,2007,1822,1828,2,New,3,314813
620,8,2003,1482,2262,2,WD,3,305000
621,3,1914,864,864,1,WD,0,67000
622,6,1974,1522,2614,2,WD,2,240000
623,5,1977,980,980,1,WD,2,135000
